distribusion,urn:trainline:distribusion:extra:smalltable-ffbb96044f0dfd5b1b0d2e9d1eafdd69,Small table,compartment
sncf,urn:trainline:sncf:extra:food_drink_vending_machine-a169c5f9afe3980e362a6d2e6c25276a,Distributeur de friandises/​boissons,drinksAndSnacks
trenitalia,urn:trainline:trenitalia:extra:outlet,Steckdose,
ouigo,urn:trainline:ouigo:extra:ouigo_duo_essentiel_enfant_seat_selection-9eff9c3329624cbc3dad97340d01a76b,Seat selection,
ntv,urn:trainline:ntv:extra:newspaper,Stampa (la mattina),reading
cff,urn:trainline:cff:extra:cff_city_ticket_arrival-5ea54a2570c9a0ae90c4b92c533b8cdb,City-Ticket Basel Bad Bf,localTransport
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Zürich,localTransport
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Sorengo Laghetto,localTransport
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Chiasso,localTransport
flixbus,urn:trainline:flixbus:extra:hand_luggage,3 bagagli a mano,
sncf,urn:trainline:sncf:extra:bicycle_with_reservation,Bike reservations (3),bicycle
sncf,urn:trainline:sncf:extra:usb_outlet-e390fa87952a1db136c28d8a0d7a226c,Port USB,electricSocket
sncf,urn:trainline:sncf:extra:business_premiere,Business Premier,
sncf,urn:trainline:sncf:extra:bicycle_with_reservation,Posti biciclette (2),bicycle
sncf,urn:trainline:sncf:extra:bicycle_with_reservation,Bike reservations (4),bicycle
obb,urn:trainline:obb:extra:lounge_wien_hbf,ÖBB Lounge Wien Hbf,departureLounge
distribusion,urn:trainline:distribusion:extra:airconditioning-ff7293478b2dff14f9cedc7969953818,Air Conditioning,compartment
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_duopp_essentiel_adulte-ddd628db5253bdef03d121c775167d2b,Seat selection,
trenitalia,urn:trainline:trenitalia:extra:meal-eef8145ed3bd0fdbe2f3e405be4e5483,At-seat meal service,meal
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,"City-Ticket Orbe, Poste",localTransport
obb,urn:trainline:obb:extra:lounge_wien_hbf-13f66e5cf1cffd4282ae5607b2aaf79d,ÖBB lounge Salzburg Hbf,departureLounge
trenitalia,urn:trainline:trenitalia:extra:entertainment-19cc10f12933a623d38dcee5d6f92e38,"Entertainment Portal with free movies, newspapers, music and cartoons",
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,1 maleta de 20 kgs.,luggage
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Schwäbis,localTransport
sncf,urn:trainline:sncf:extra:nursery_space-7a82bc6fc91311a4767ac8819c3a229b,Nursery space,
flixbus,urn:trainline:flixbus:extra:wifi-bf92888361a65862830b1f37ef5bbb39,WiFi,wifi
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,1 maleta de 29 kgs.,
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,1 travel baggage of 20 kg,luggage
obb,urn:trainline:obb:extra:ice_free_wifi-e5f33aadfd0b9c0c4e8b698bd3cb0b46,WiFi,wifi
busbud,urn:trainline:busbud:extra:wifi,WiFi,wifi
flixbus,urn:trainline:flixbus:extra:hand_luggage,Hand baggage,handLuggage
sncf,urn:trainline:sncf:extra:bicycle_with_reservation,Bike reservations (2),bicycle
sncf,urn:trainline:sncf:extra:bicycle_with_reservation,Posto bicicletta,
db,urn:trainline:db:extra:ic_bus_free_wifi,WiFi,
cff,urn:trainline:cff:extra:cff_city_ticket_arrival-7df7792b7fb41be5c9dcc87e78ad6222,City-Ticket Fribourg/Freiburg Poya,localTransport
ouigo,urn:trainline:ouigo:extra:luggage-586866ea32400e589898c3b6b8a8decb,Extra baggage,luggage
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_duo_essentiel_adulte-b177c5ce51e9d844270407b099055f63,translation missing: en.data.ssr..seat_selection.title,
